episode,reward,epsilon,steps,car_wait_avg,ped_wait_avg,signal_switches
1,-1973.5,0.995,200,7.1,1.035,19
2,-1500.5,0.990025,200,6.3525,1.19,38
3,-1587.5,0.985074875,200,6.255,1.2033333333333334,58
4,-1367.5,0.9801495006250001,200,5.93625,1.2175,78
5,-1633.0,0.9752487531218751,200,5.951,1.183,98
6,-1645.0,0.9703725093562657,200,5.970833333333333,1.1375,118
7,-1951.0,0.9655206468094844,200,6.102857142857143,1.1357142857142857,139
8,-1420.0,0.960693043575437,200,6.02375,1.145625,158
9,-1645.5,0.9558895783575597,200,6.046666666666667,1.1372222222222221,176
10,-1162.0,0.9511101304657719,200,5.89,1.085,195
11,-1676.0,0.946354579813443,200,5.911363636363636,1.0627272727272727,214
12,-1846.5,0.9416228069143757,200,5.94,1.0941666666666667,234
13,-2173.0,0.9369146928798039,200,6.031923076923077,1.1057692307692308,254
14,-2069.0,0.9322301194154049,200,6.123571428571428,1.1039285714285714,272
15,-1546.5,0.9275689688183278,200,6.087,1.0933333333333333,294
16,-1549.5,0.9229311239742362,200,6.06625,1.1159375,314
17,-1185.5,0.918316468354365,200,5.975588235294118,1.1223529411764706,334
18,-1412.5,0.9137248860125932,200,5.951388888888889,1.1322222222222222,354
19,-1661.5,0.9091562615825302,200,5.950526315789474,1.1160526315789474,375
20,-1310.0,0.9046104802746175,200,5.91375,1.11475,394
21,-1868.5,0.9000874278732445,200,5.95452380952381,1.118809523809524,413
22,-1929.0,0.8955869907338783,200,6.0075,1.1197727272727274,432
23,-1710.0,0.8911090557802088,200,6.0015217391304345,1.1276086956521738,452
24,-1473.0,0.8866535105013078,200,5.987708333333333,1.1289583333333333,472
25,-1243.0,0.8822202429488013,200,5.9432,1.1304,493
26,-1482.0,0.8778091417340573,200,5.913076923076923,1.15,514
27,-1281.0,0.8734200960253871,200,5.891851851851852,1.1411111111111112,534
28,-1329.5,0.8690529955452602,200,5.863571428571428,1.1544642857142857,553
29,-1433.5,0.8647077305675338,200,5.857241379310345,1.148793103448276,572
30,-1449.0,0.8603841919146962,200,5.8395,1.157,592
31,-1305.0,0.8560822709551227,200,5.827096774193548,1.147258064516129,611
32,-1919.5,0.851801859600347,200,5.869375,1.14640625,629
33,-1524.5,0.8475428503023453,200,5.866212121212121,1.1404545454545454,650
34,-1367.5,0.8433051360508336,200,5.851764705882353,1.1413235294117647,670
35,-1779.5,0.8390886103705794,200,5.8701428571428576,1.147857142857143,691
36,-1037.5,0.8348931673187264,200,5.834444444444444,1.1441666666666668,712
37,-1393.5,0.8307187014821328,200,5.823378378378378,1.142972972972973,731
38,-1219.5,0.8265651079747222,200,5.803815789473684,1.128421052631579,751
39,-1366.0,0.8224322824348486,200,5.791153846153846,1.1296153846153847,769
40,-1432.5,0.8183201210226743,200,5.782875,1.128625,788
41,-1819.0,0.8142285204175609,200,5.810487804878049,1.1313414634146342,806
42,-1045.0,0.810157377815473,200,5.781071428571429,1.128452380952381,826
43,-1510.0,0.8061065909263957,200,5.778837209302326,1.1248837209302325,846
44,-1600.0,0.8020760579717637,200,5.790795454545455,1.1276136363636364,866
45,-1664.5,0.798065677681905,200,5.791777777777778,1.1325555555555555,885
46,-1964.0,0.7940753492934954,200,5.827065217391304,1.1230434782608696,905
47,-1703.0,0.7901049725470279,200,5.837553191489362,1.1258510638297872,924
48,-588.5,0.7861544476842928,200,5.7909375,1.1303125,945
49,-1257.5,0.7822236754458713,200,5.769285714285714,1.126734693877551,966
50,-1525.0,0.778312557068642,200,5.788,1.1246,985
51,-1889.0,0.7744209942832988,200,5.813235294117647,1.1273529411764707,1006
52,-1394.0,0.7705488893118823,200,5.809326923076923,1.1288461538461538,1026
53,-1429.5,0.7666961448653229,200,5.81122641509434,1.1281132075471698,1046
54,-1400.5,0.7628626641409962,200,5.807685185185186,1.1207407407407408,1067
55,-1029.5,0.7590483508202912,200,5.791454545454545,1.1138181818181818,1086
56,-1046.5,0.7552531090661897,200,5.776785714285714,1.11,1106
57,-1405.5,0.7514768435208588,200,5.772543859649123,1.1107894736842105,1126
58,-1266.5,0.7477194593032545,200,5.769051724137931,1.110344827586207,1145
59,-913.0,0.7439808620067382,200,5.750169491525424,1.1048305084745762,1164
60,-1383.5,0.7402609576967045,200,5.751833333333333,1.1026666666666667,1185
61,-1505.0,0.736559652908221,200,5.76327868852459,1.0997540983606557,1204
62,-1285.5,0.7328768546436799,200,5.751209677419355,1.1078225806451614,1224
63,-1254.0,0.7292124703704616,200,5.743333333333333,1.112936507936508,1244
64,-1334.5,0.7255664080186093,200,5.739453125,1.11359375,1265
65,-1376.0,0.7219385759785162,200,5.7323076923076925,1.1113076923076923,1285
66,-993.5,0.7183288830986236,200,5.7175,1.1061363636363637,1306
67,-1109.0,0.7147372386831305,200,5.700820895522388,1.1051492537313432,1327
68,-882.0,0.7111635524897149,200,5.677426470588236,1.1047794117647058,1348
69,-1440.0,0.7076077347272662,200,5.680579710144928,1.1127536231884059,1368
70,-1693.5,0.7040696960536299,200,5.690285714285714,1.1137142857142857,1387
71,-1179.5,0.7005493475733617,200,5.685,1.1109154929577465,1408
72,-827.0,0.697046600835495,200,5.667361111111111,1.1086111111111112,1429
73,-1309.0,0.6935613678313175,200,5.659041095890411,1.1093835616438357,1449
74,-1348.5,0.6900935609921609,200,5.659121621621622,1.1081756756756758,1470
75,-1912.0,0.6866430931872001,200,5.6838,1.1072,1491
76,-1300.5,0.6832098777212641,200,5.680921052631579,1.1051973684210525,1512
77,-1344.5,0.6797938283326578,200,5.679090909090909,1.1078571428571429,1532
78,-1629.0,0.6763948591909945,200,5.685641025641026,1.1105128205128205,1552
79,-1637.0,0.6730128848950395,200,5.693291139240507,1.1135443037974684,1572
80,-1438.5,0.6696478204705644,200,5.694125,1.1145,1593
81,-1244.5,0.6662995813682115,200,5.688765432098766,1.113888888888889,1613
82,-1274.0,0.6629680834613705,200,5.68609756097561,1.1146951219512196,1634
83,-1110.5,0.6596532430440636,200,5.679277108433735,1.1119277108433734,1654
84,-1037.0,0.6563549768288433,200,5.664642857142857,1.1119642857142857,1675
85,-1351.0,0.653073201944699,200,5.666705882352941,1.1098823529411765,1695
86,-1125.5,0.6498078359349755,200,5.658779069767442,1.1059883720930233,1716
87,-2332.0,0.6465587967553006,200,5.691091954022989,1.105344827586207,1736
88,-1097.0,0.6433260027715241,200,5.681875,1.1035227272727273,1756
89,-1664.5,0.6401093727576664,200,5.691966292134832,1.1012921348314606,1777
90,-1685.5,0.6369088258938781,200,5.701388888888889,1.0997222222222223,1798
91,-849.5,0.6337242817644086,200,5.688131868131868,1.0993956043956044,1820
92,-1453.0,0.6305556603555866,200,5.688641304347826,1.097608695652174,1841
93,-1654.5,0.6274028820538087,200,5.696989247311828,1.0953763440860216,1860
94,-607.5,0.6242658676435396,200,5.676702127659574,1.0929255319148936,1881
95,-807.0,0.6211445383053219,200,5.666736842105263,1.0896315789473685,1900
96,-980.0,0.6180388156137953,200,5.6553125,1.0861979166666667,1921
97,-1308.0,0.6149486215357263,200,5.653144329896907,1.089639175257732,1942
98,-917.0,0.6118738784280476,200,5.634489795918367,1.0922448979591837,1962
99,-1045.5,0.6088145090359074,200,5.626464646464647,1.0929292929292929,1982
100,-806.5,0.6057704364907278,200,5.6141,1.09075,2003
101,-1213.5,0.6027415843082742,200,5.611633663366336,1.0884653465346534,2024
102,-1092.5,0.5997278763867329,200,5.604411764705882,1.0905882352941176,2045
103,-712.0,0.5967292370047992,200,5.590194174757282,1.0919417475728155,2066
104,-713.5,0.5937455908197752,200,5.575673076923077,1.091875,2086
105,-915.0,0.5907768628656763,200,5.567666666666667,1.0916190476190477,2108
106,-1377.5,0.5878229785513479,200,5.570377358490566,1.090801886792453,2128
107,-1164.0,0.5848838636585911,200,5.5659345794392525,1.0892056074766354,2149
108,-1065.5,0.5819594443402982,200,5.556388888888889,1.0918055555555555,2170
109,-640.0,0.5790496471185967,200,5.539770642201835,1.0903669724770642,2192
110,-1019.5,0.5761543988830038,200,5.534363636363636,1.0898181818181818,2214
111,-1039.0,0.5732736268885887,200,5.528648648648649,1.0887387387387388,2234
112,-1002.0,0.5704072587541458,200,5.522366071428571,1.0916517857142858,2255
113,-710.0,0.567555222460375,200,5.5090265486725665,1.088716814159292,2276
114,-1206.5,0.5647174463480732,200,5.5053947368421055,1.0865350877192983,2297
115,-875.5,0.5618938591163328,200,5.498695652173913,1.0847391304347827,2317
116,-568.5,0.5590843898207511,200,5.486508620689655,1.0807327586206896,2337
117,-1092.5,0.5562889678716474,200,5.4818376068376065,1.0811965811965811,2358
118,-565.5,0.5535075230322891,200,5.469237288135593,1.0783474576271186,2380
119,-1351.5,0.5507399854171277,200,5.472983193277311,1.0755042016806722,2401
120,-850.0,0.547986285490042,200,5.464666666666667,1.0747083333333334,2421
121,-1813.5,0.5452463540625918,200,5.478801652892562,1.0767355371900826,2441
122,-910.5,0.5425201222922789,200,5.4689344262295085,1.0772950819672131,2462
123,-992.5,0.5398075216808175,200,5.465325203252032,1.0766260162601626,2483
124,-816.5,0.5371084840724134,200,5.459274193548387,1.0728225806451612,2504
125,-1033.0,0.5344229416520513,200,5.45168,1.07304,2525
126,-673.0,0.531750826943791,200,5.4401190476190475,1.0718650793650795,2545
127,-1285.5,0.5290920728090721,200,5.443937007874016,1.0717322834645668,2567
128,-729.5,0.5264466124450268,200,5.434453125,1.069921875,2588
129,-1112.5,0.5238143793828016,200,5.4347674418604655,1.0706976744186048,2608
130,-938.5,0.5211953074858876,200,5.428269230769231,1.0731538461538461,2628
131,-708.5,0.5185893309484582,200,5.420648854961832,1.073320610687023,2649
132,-782.5,0.5159963842937159,200,5.414280303030303,1.0719318181818183,2670
133,-949.0,0.5134164023722473,200,5.409248120300752,1.0702631578947368,2691
134,-787.5,0.510849320360386,200,5.403246268656717,1.067686567164179,2712
135,-926.5,0.5082950737585841,200,5.396962962962963,1.069,2732
136,-731.0,0.5057535983897912,200,5.386911764705882,1.0694485294117646,2753
137,-789.5,0.5032248303978422,200,5.380109489051095,1.0695620437956204,2774
138,-775.5,0.500708706245853,200,5.373442028985507,1.068550724637681,2794
139,-644.0,0.4982051627146237,200,5.3638129496402875,1.0666906474820144,2816
140,-992.5,0.49571413690105054,200,5.362107142857143,1.06725,2837
141,-895.0,0.4932355662165453,200,5.355921985815603,1.0679078014184398,2858
142,-875.5,0.4907693883854626,200,5.34887323943662,1.0690492957746478,2879
143,-688.5,0.4883155414435353,200,5.343671328671329,1.068986013986014,2900
144,-1050.5,0.4858739637363176,200,5.342326388888889,1.0687152777777778,2922
145,-1301.5,0.483444593917636,200,5.344655172413793,1.068103448275862,2944
146,-1081.0,0.4810273709480478,200,5.342568493150685,1.0688013698630137,2964
147,-834.0,0.47862223409330756,200,5.3366326530612245,1.0673469387755101,2985
148,-1760.0,0.47622912292284103,200,5.346182432432433,1.0663851351351352,3006
149,-985.5,0.4738479773082268,200,5.343255033557047,1.0653691275167785,3027
150,-928.0,0.47147873742168567,200,5.338766666666666,1.0677,3048
151,-1130.5,0.46912134373457726,200,5.338344370860927,1.071291390728477,3069
152,-907.0,0.46677573701590436,200,5.336217105263158,1.0701644736842104,3090
153,-1224.5,0.46444185833082485,200,5.336699346405228,1.0695424836601308,3110
154,-777.5,0.46211964903917074,200,5.331883116883117,1.06762987012987,3131
155,-832.0,0.4598090507939749,200,5.327645161290323,1.0671935483870967,3152
156,-922.0,0.457510005540005,200,5.325865384615384,1.0665384615384614,3174
157,-1158.0,0.45522245551230495,200,5.329458598726115,1.06484076433121,3193
158,-1357.0,0.4529463432347434,200,5.334936708860759,1.065253164556962,3214
159,-487.0,0.4506816115185697,200,5.325314465408805,1.0639622641509434,3235
160,-777.5,0.4484282034609769,200,5.3203125,1.06471875,3255
161,-635.0,0.446186062443672,200,5.312608695652174,1.0632919254658386,3276
162,-791.5,0.4439551321314536,200,5.310586419753086,1.0630246913580248,3297
163,-1196.0,0.4417353564707963,200,5.311165644171779,1.0622085889570552,3317
164,-796.0,0.43952667968844233,200,5.306219512195122,1.0606707317073172,3337
165,-1099.5,0.43732904629000013,200,5.309333333333333,1.0586363636363636,3357
166,-631.5,0.4351424010585501,200,5.301536144578313,1.058644578313253,3378
167,-705.5,0.43296668905325736,200,5.2932634730538926,1.0608982035928143,3399
168,-1277.0,0.43080185560799106,200,5.295238095238095,1.0580654761904762,3419
169,-883.5,0.4286478463299511,200,5.2935502958579885,1.057810650887574,3440
170,-236.5,0.42650460709830135,200,5.281205882352941,1.055764705882353,3462
171,-1134.5,0.42437208406280985,200,5.2821637426900585,1.0547660818713451,3481
172,-845.5,0.4222502236424958,200,5.280319767441861,1.053546511627907,3502
173,-808.0,0.42013897252428334,200,5.27635838150289,1.0520231213872833,3523
174,-574.0,0.4180382776616619,200,5.271436781609196,1.0498275862068966,3545
175,-1267.5,0.4159480862733536,200,5.276,1.0494857142857144,3566
176,-935.5,0.41386834584198684,200,5.274829545454545,1.0483806818181818,3587
177,-681.0,0.4117990041127769,200,5.269491525423729,1.0456497175141244,3609
178,-576.0,0.40974000909221303,200,5.262949438202247,1.0460112359550562,3631
179,-915.5,0.40769130904675194,200,5.258463687150838,1.0460055865921787,3652
180,-610.0,0.40565285250151817,200,5.251694444444444,1.0455277777777778,3674
181,-761.0,0.4036245882390106,200,5.248314917127072,1.0442265193370166,3695
182,-654.0,0.4016064652978155,200,5.243571428571428,1.043076923076923,3716
183,-662.5,0.3995984329713264,200,5.239180327868852,1.0441803278688524,3737
184,-657.5,0.3976004408064698,200,5.234510869565217,1.0426630434782609,3759
185,-731.5,0.39561243860243744,200,5.229432432432432,1.041837837837838,3779
186,-656.5,0.3936343764094253,200,5.225430107526882,1.0425806451612902,3800
187,-901.5,0.39166620452737816,200,5.22548128342246,1.04,3820
188,-513.5,0.3897078735047413,200,5.217367021276596,1.0389893617021277,3842
189,-835.0,0.3877593341372176,200,5.214312169312169,1.0407671957671958,3863
190,-678.5,0.3858205374665315,200,5.209447368421053,1.0395526315789474,3885
191,-817.0,0.38389143477919885,200,5.206544502617801,1.0410732984293194,3906
192,-1078.5,0.3819719776053028,200,5.206875,1.0420833333333333,3926
193,-703.5,0.3800621177172763,200,5.2038860103626945,1.0409067357512953,3948
194,-767.0,0.37816180712868996,200,5.202938144329897,1.0413917525773195,3969
195,-926.5,0.37627099809304654,200,5.202974358974359,1.0397948717948717,3990
196,-739.5,0.3743896431025813,200,5.199821428571428,1.0394642857142857,4011
197,-748.0,0.37251769488706843,200,5.196395939086295,1.04,4033
198,-846.0,0.3706551064126331,200,5.193358585858586,1.0386363636363636,4054
199,-877.5,0.36880183088056995,200,5.191381909547738,1.0396231155778894,4074
200,-888.5,0.3669578217261671,200,5.189925,1.039025,4095
201,-569.5,0.36512303261753626,200,5.184378109452736,1.040820895522388,4116
202,-1078.5,0.3632974174544486,200,5.1867326732673265,1.0411633663366338,4137
203,-731.0,0.3614809303671764,200,5.182857142857143,1.042192118226601,4158
204,-841.5,0.3596735257153405,200,5.182083333333333,1.0419117647058824,4179
205,-547.0,0.3578751580867638,200,5.177365853658537,1.0414634146341464,4200
206,-1192.5,0.35608578229633,200,5.180218446601942,1.0416990291262136,4222
207,-704.0,0.3543053533848483,200,5.175507246376812,1.041328502415459,4242
208,-725.0,0.35253382661792404,200,5.171610576923077,1.0395192307692307,4263
209,-468.5,0.3507711574848344,200,5.163947368421053,1.039377990430622,4284
210,-716.5,0.34901730169741024,200,5.162166666666667,1.0382142857142858,4306
211,-629.5,0.3472722151889232,200,5.1564691943127965,1.0380331753554501,4328
212,-869.0,0.3455358541129786,200,5.156320754716981,1.038443396226415,4349
213,-1028.5,0.3438081748424137,200,5.158262910798122,1.0379342723004694,4371
214,-1146.0,0.3420891339682016,200,5.162523364485981,1.0372196261682243,4393
215,-713.5,0.3403786882983606,200,5.158953488372093,1.0374883720930232,4415
216,-786.5,0.3386767948568688,200,5.156736111111111,1.036851851851852,4436
217,-938.5,0.33698341088258443,200,5.156705069124424,1.0347235023041474,4457
218,-1087.0,0.3352984938281715,200,5.157224770642202,1.0347018348623853,4479
219,-784.0,0.33362200135903064,200,5.156438356164384,1.0330593607305936,4500
220,-379.0,0.33195389135223546,200,5.150840909090909,1.0316818181818181,4518
221,-692.0,0.3302941218954743,200,5.147330316742082,1.0323529411764707,4538
222,-1822.5,0.32864265128599696,200,5.158400900900901,1.0317117117117116,4557
223,-921.5,0.326999438029567,200,5.1588789237668164,1.0295739910313901,4578
224,-1003.0,0.3253644408394192,200,5.1589285714285715,1.0284151785714286,4598
225,-769.5,0.3237376186352221,200,5.157355555555555,1.028911111111111,4619
226,-823.5,0.322118930542046,200,5.156570796460177,1.0275442477876107,4640
227,-723.0,0.32050833588933575,200,5.1549339207048455,1.0258810572687225,4660
228,-535.0,0.31890579420988907,200,5.150416666666667,1.024890350877193,4681
229,-1127.5,0.3173112652388396,200,5.153013100436681,1.0239956331877729,4702
230,-1130.0,0.3157247089126454,200,5.156391304347826,1.0228260869565218,4723
231,-336.5,0.3141460853680822,200,5.15060606060606,1.0211688311688312,4744
232,-872.5,0.3125753549412418,200,5.150064655172414,1.0217887931034482,4766
233,-1244.5,0.31101247816653554,200,5.15519313304721,1.0215021459227467,4785
234,-720.5,0.30945741577570285,200,5.151132478632479,1.0202136752136752,4804
235,-768.0,0.3079101286968243,200,5.147361702127659,1.022659574468085,4825
236,-913.0,0.3063705780533402,200,5.147478813559322,1.0217584745762711,4846
237,-849.5,0.30483872516307353,200,5.14710970464135,1.0211814345991561,4867
238,-874.5,0.3033145315372582,200,5.146365546218488,1.0217857142857143,4888
239,-755.5,0.3017979588795719,200,5.144581589958159,1.0211924686192468,4910
240,-870.5,0.30028896908517405,200,5.1427708333333335,1.0207708333333334,4932
241,-477.0,0.2987875242397482,200,5.138402489626556,1.021701244813278,4951
242,-363.5,0.29729358661854943,200,5.132417355371901,1.0224793388429751,4972
243,-1144.0,0.29580711868545667,200,5.133930041152263,1.0224897119341563,4993
244,-958.5,0.2943280830920294,200,5.135758196721311,1.0223565573770492,5013
245,-775.5,0.29285644267656924,200,5.134448979591837,1.0218367346938775,5033
246,-710.0,0.2913921604631864,200,5.132378048780488,1.0208333333333333,5054
247,-623.5,0.28993519966087045,200,5.1295748987854255,1.0209514170040486,5076
248,-1195.0,0.2884855236625661,200,5.13383064516129,1.020241935483871,5095
249,-638.5,0.28704309604425327,200,5.130803212851406,1.019979919678715,5115
250,-809.5,0.285607880564032,200,5.12992,1.01872,5134
251,-781.0,0.28417984116121187,200,5.127450199203187,1.0189043824701196,5156
252,-759.5,0.2827589419554058,200,5.126825396825397,1.0186309523809525,5176
253,-355.5,0.28134514724562876,200,5.121640316205534,1.016581027667984,5197
254,-760.5,0.2799384215094006,200,5.118996062992126,1.0153543307086614,5218
